pop	X	Y	tempPC1	tempPC2	precipPC1	precipPC2	flowPC1	flowPC2
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
GGL	-1011.1483	-125.75462	-1.268392913	1.230043661	-3.41157417	-0.427767879	-2.510305813	-0.722003744
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
WAK	-1760.6801	-170.98937	-2.361316718	-0.412672756	-1.756543445	1.097859206	-1.894239256	-0.699971653
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BEN	-1819.7576	-174.58884	-2.602899799	-0.35788343	0.410082817	2.935854936	-1.623209543	-0.918351625
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
BOG	216.679747	-32.446805	2.146852284	2.487959083	-2.508785184	-1.31459432	0.183043564	1.037599729
PEL	572.507772	502.077025	1.352738163	-0.205936609	0.908755779	0.283831726	1.506607371	-0.657074512
PEL	572.507772	502.077025	1.352738163	-0.205936609	0.908755779	0.283831726	1.506607371	-0.657074512
PEL	572.507772	502.077025	1.352738163	-0.205936609	0.908755779	0.283831726	1.506607371	-0.657074512
PEL	572.507772	502.077025	1.352738163	-0.205936609	0.908755779	0.283831726	1.506607371	-0.657074512
PEL	572.507772	502.077025	1.352738163	-0.205936609	0.908755779	0.283831726	1.506607371	-0.657074512
PEL	572.507772	502.077025	1.352738163	-0.205936609	0.908755779	0.283831726	1.506607371	-0.657074512
PEL	572.507772	502.077025	1.352738163	-0.205936609	0.908755779	0.283831726	1.506607371	-0.657074512
